# site=Albenga, Liguria, IT
# latitude=44.05
# longitude=8.21
# elevation_m=9.0
# source=Open-Meteo historical weather API (ERA5 / ERA5-Land reanalysis), CC BY 4.0
# utc_offset_h=1.0
# start_local=2023-01-01T00:00
# fetched=2026-09-20T11:36+00:00
# unit:shortwave_radiation=W/m²
# kind:shortwave_radiation=preceding_mean
# unit:soil_moisture_0_to_7cm=m³/m³
# kind:soil_moisture_0_to_7cm=instant
# unit:temperature_2m=°C
# kind:temperature_2m=instant
# unit:relative_humidity_2m=%
# kind:relative_humidity_2m=instant
# unit:precipitation=mm
# kind:precipitation=preceding_mean
time,shortwave_radiation,soil_moisture_0_to_7cm,temperature_2m,relative_humidity_2m,precipitation
2023-08-24T03:00,0,0.125,26.6,51,0
2023-08-24T04:00,0,0.125,26.4,50,0
2023-08-24T05:00,0,0.125,26,51,0
2023-08-24T06:00,2,0.125,25.7,52,0
2023-08-24T07:00,79,0.125,28.1,49,0
2023-08-24T08:00,240,0.125,32.7,38,0
2023-08-24T09:00,414,0.125,34.3,35,0
2023-08-24T10:00,573,0.125,35.2,36,0
2023-08-24T11:00,699,0.125,35.4,38,0
2023-08-24T12:00,777,0.125,35.7,36,0
2023-08-24T13:00,742,0.125,35.5,35,0
2023-08-24T14:00,704,0.125,35.4,35,0
2023-08-24T15:00,606,0.124,35,35,0
2023-08-24T16:00,489,0.124,34.9,35,0
2023-08-24T17:00,347,0.124,33.7,40,0
2023-08-24T18:00,203,0.124,31.4,53,0
2023-08-24T19:00,73,0.124,29.6,63,0
2023-08-24T20:00,2,0.124,28.4,69,0
2023-08-24T21:00,0,0.124,27.7,72,0
2023-08-24T22:00,0,0.124,27.8,65,0
2023-08-24T23:00,0,0.124,27.5,61,0
2023-08-25T00:00,0,0.124,26.9,60,0
2023-08-25T01:00,0,0.124,25.5,66,0
2023-08-25T02:00,0,0.124,25.5,60,0
2023-08-25T03:00,0,0.124,27.8,49,0
2023-08-25T04:00,0,0.124,25.6,56,0
2023-08-25T05:00,0,0.124,24.7,58,0
2023-08-25T06:00,2,0.124,24.9,55,0
2023-08-25T07:00,78,0.124,27.2,51,0
2023-08-25T08:00,240,0.124,28,65,0
2023-08-25T09:00,415,0.124,29.4,61,0
2023-08-25T10:00,574,0.124,30.2,63,0
2023-08-25T11:00,699,0.124,30.4,66,0
2023-08-25T12:00,778,0.124,30.6,66,0
2023-08-25T13:00,804,0.124,30.9,63,0
2023-08-25T14:00,780,0.124,31.1,62,0
2023-08-25T15:00,700,0.124,30.8,62,0
2023-08-25T16:00,576,0.124,30.8,58,0
2023-08-25T17:00,415,0.124,30.4,58,0
2023-08-25T18:00,237,0.124,29.1,67,0
2023-08-25T19:00,74,0.124,27.3,79,0
2023-08-25T20:00,1,0.124,26,88,0
2023-08-25T21:00,0,0.124,25.2,92,0
2023-08-25T22:00,0,0.124,24.7,92,0
2023-08-25T23:00,0,0.124,24.3,91,0
2023-08-26T00:00,0,0.124,23.8,92,0
2023-08-26T01:00,0,0.124,26.1,82,0
2023-08-26T02:00,0,0.124,24.3,91,0
2023-08-26T03:00,0,0.124,23.6,92,0
2023-08-26T04:00,0,0.124,22.7,92,0
2023-08-26T05:00,0,0.124,22.4,91,0
2023-08-26T06:00,1,0.124,22.4,91,0
2023-08-26T07:00,67,0.124,24.6,76,0
2023-08-26T08:00,225,0.124,27.3,69,0
2023-08-26T09:00,401,0.124,28.3,68,0
2023-08-26T10:00,550,0.124,29.3,63,0
2023-08-26T11:00,655,0.124,30.3,58,0
2023-08-26T12:00,764,0.124,31,59,0
2023-08-26T13:00,587,0.124,30.9,62,0
2023-08-26T14:00,469,0.124,30.8,61,0
2023-08-26T15:00,602,0.124,31.1,58,0
2023-08-26T16:00,427,0.124,30.5,59,0
2023-08-26T17:00,364,0.124,29.6,64,0
2023-08-26T18:00,157,0.124,28.4,67,0
2023-08-26T19:00,67,0.124,27.5,70,0
2023-08-26T20:00,1,0.124,26.9,68,0
2023-08-26T21:00,0,0.124,26.5,70,0
2023-08-26T22:00,0,0.124,25.5,77,0
2023-08-26T23:00,0,0.124,25.2,73,0
2023-08-27T00:00,0,0.124,24.6,78,0
2023-08-27T01:00,0,0.124,27.3,62,0
2023-08-27T02:00,0,0.124,26.7,55,0
2023-08-27T03:00,0,0.124,25.7,61,0
2023-08-27T04:00,0,0.124,25,74,0
2023-08-27T05:00,0,0.124,23.8,85,0
2023-08-27T06:00,1,0.124,24.2,79,0
2023-08-27T07:00,47,0.124,25.1,75,0
2023-08-27T08:00,134,0.124,26.4,60,0
2023-08-27T09:00,101,0.126,25.1,61,0.3
2023-08-27T10:00,209,0.128,25.1,62,0.3
2023-08-27T11:00,350,0.128,25.7,64,0
2023-08-27T12:00,506,0.128,27.3,58,0
2023-08-27T13:00,272,0.142,25.8,61,0
2023-08-27T14:00,728,0.142,27.7,52,0
2023-08-27T15:00,592,0.142,27.1,59,0
2023-08-27T16:00,405,0.141,26.4,64,0
2023-08-27T17:00,182,0.141,25.9,65,0
2023-08-27T18:00,69,0.142,25.1,69,0.1
2023-08-27T19:00,35,0.142,24.8,71,0
2023-08-27T20:00,0,0.172,22.7,79,2.8
2023-08-27T21:00,0,0.176,21.9,81,0.3
2023-08-27T22:00,0,0.232,21.8,82,4.2
2023-08-27T23:00,0,0.37,21.2,84,10.1
2023-08-28T00:00,0,0.417,21.2,83,16.5
2023-08-28T01:00,0,0.421,21.2,85,7.6
2023-08-28T02:00,0,0.422,20.6,93,8.3
2023-08-28T03:00,0,0.417,20.8,91,3.3
2023-08-28T04:00,0,0.426,19.8,96,2.7
2023-08-28T05:00,0,0.403,19.1,95,2.3
2023-08-28T06:00,0,0.393,19.6,92,0.2
2023-08-28T07:00,28,0.388,19.8,91,0.3
2023-08-28T08:00,58,0.385,19.8,87,0.4
2023-08-28T09:00,124,0.398,19.3,89,1.7
2023-08-28T10:00,294,0.39,20.7,78,0.2
2023-08-28T11:00,437,0.389,21.4,70,0.9
2023-08-28T12:00,332,0.401,19.9,78,2
2023-08-28T13:00,168,0.369,19.8,73,3.1
2023-08-28T14:00,233,0.379,20.4,85,1.4
2023-08-28T15:00,407,0.379,21.3,75,0.5
2023-08-28T16:00,324,0.375,21.3,71,0.1
2023-08-28T17:00,144,0.373,19.8,71,0.2
2023-08-28T18:00,90,0.37,20,63,0
2023-08-28T19:00,29,0.367,20.4,55,0
2023-08-28T20:00,0,0.365,21.4,44,0
2023-08-28T21:00,0,0.362,21.5,41,0
2023-08-28T22:00,0,0.36,21.1,52,0
2023-08-28T23:00,0,0.358,21.1,56,0
2023-08-29T00:00,0,0.357,20.2,74,0
2023-08-29T01:00,0,0.374,21.5,43,0
2023-08-29T02:00,0,0.372,21.2,43,0
2023-08-29T03:00,0,0.369,20.9,44,0
2023-08-29T04:00,0,0.367,20.5,46,0
2023-08-29T05:00,0,0.365,20.1,46,0
2023-08-29T06:00,0,0.365,20,47,0.2
2023-08-29T07:00,8,0.367,19.4,53,0.4
2023-08-29T08:00,41,0.365,19.8,57,0
2023-08-29T09:00,188,0.363,21.7,56,0
2023-08-29T10:00,533,0.36,24,39,0
2023-08-29T11:00,607,0.357,24.9,38,0
2023-08-29T12:00,647,0.354,25.5,37,0
2023-08-29T13:00,696,0.347,24.7,37,0
2023-08-29T14:00,765,0.344,26.2,34,0
2023-08-29T15:00,663,0.342,26.2,35,0
2023-08-29T16:00,542,0.339,26.1,37,0
2023-08-29T17:00,369,0.337,25.8,39,0
2023-08-29T18:00,212,0.336,25.2,49,0
2023-08-29T19:00,59,0.336,24.7,38,0
2023-08-29T20:00,0,0.335,21.1,59,0
2023-08-29T21:00,0,0.335,19.3,60,0
2023-08-29T22:00,0,0.335,17.6,65,0
2023-08-29T23:00,0,0.334,17.6,62,0
2023-08-30T00:00,0,0.334,17.8,56,0
2023-08-30T01:00,0,0.333,19.9,45,0
2023-08-30T02:00,0,0.333,18.1,53,0
2023-08-30T03:00,0,0.332,17.5,53,0
2023-08-30T04:00,0,0.332,17.3,53,0
2023-08-30T05:00,0,0.331,16.7,54,0
2023-08-30T06:00,1,0.331,16.5,55,0
2023-08-30T07:00,67,0.33,18.4,56,0
2023-08-30T08:00,221,0.329,22,52,0
2023-08-30T09:00,400,0.328,23.9,41,0
2023-08-30T10:00,571,0.326,24.8,39,0
2023-08-30T11:00,689,0.324,25.5,39,0
2023-08-30T12:00,767,0.321,25.7,39,0
2023-08-30T13:00,777,0.319,25.1,42,0
2023-08-30T14:00,673,0.317,25.6,43,0
2023-08-30T15:00,617,0.315,25.8,42,0
2023-08-30T16:00,440,0.316,24.1,55,0.3
2023-08-30T17:00,255,0.319,23.7,56,0.4
2023-08-30T18:00,183,0.318,23.1,60,0
2023-08-30T19:00,54,0.318,21.8,69,0
2023-08-30T20:00,0,0.318,20.2,81,0
2023-08-30T21:00,0,0.318,20,86,0
2023-08-30T22:00,0,0.318,19.4,87,0
2023-08-30T23:00,0,0.317,19.3,83,0
2023-08-31T00:00,0,0.317,18.5,85,0
2023-08-31T01:00,0,0.308,18.2,81,0
2023-08-31T02:00,0,0.308,18.5,79,0
2023-08-31T03:00,0,0.308,18.5,80,0
2023-08-31T04:00,0,0.308,18.2,81,0
2023-08-31T05:00,0,0.308,18.1,82,0
2023-08-31T06:00,0,0.308,17.7,84,0
2023-08-31T07:00,58,0.308,18.9,83,0
2023-08-31T08:00,183,0.307,21.3,77,0
2023-08-31T09:00,333,0.307,22.8,70,0
2023-08-31T10:00,562,0.306,24,63,0.1
2023-08-31T11:00,643,0.305,24.4,60,0.1
2023-08-31T12:00,726,0.303,24.7,58,0.1
2023-08-31T13:00,765,0.303,24.7,52,0
2023-08-31T14:00,737,0.301,24.1,56,0
2023-08-31T15:00,678,0.3,23.8,60,0
